id,champion1_team1,champion2_team1,champion3_1,champion4_team1,champion5_team1,champion1_team2,champion2_team2,champion3_team2,champion4_team2,champion5_team2,winner
9811,Karma,Lucian,Mordekaiser,Vel'Koz,Xin Zhao,Fiora,Lux,Miss Fortune,Volibear,Zilean,team2
9812,Hecarim,Lucian,Nautilus,Riven,Varus,Jax,Jhin,Lee Sin,Leona,Sett,team1
9813,Jax,Katarina,Lux,Senna,Sett,Amumu,Aphelios,Gangplank,Shen,Yasuo,team2
9814,Aurelion Sol,Caitlyn,Kayn,Pantheon,Poppy,Jhin,Neeko,Olaf,Senna,Yasuo,team2
9815,Kog'Maw,Sett,Shen,Soraka,Veigar,Jhin,Orianna,Sejuani,Thresh,Yasuo,team2
9816,Ezreal,Kassadin,Kha'Zix,Leona,Tryndamere,Ashe,Cassiopeia,Nasus,Pantheon,Urgot,team1
9817,Ezreal,Irelia,Lux,Pantheon,Volibear,Alistar,Jinx,LeBlanc,Shaco,Teemo,team1
9818,Jhin,Shen,Thresh,Volibear,Zed,Lee Sin,Lucian,Orianna,Pantheon,Sett,team2
9819,Akali,Ezreal,Lee Sin,Rakan,Yasuo,Irelia,Kai'Sa,Kayn,Mordekaiser,Thresh,team2
9820,Caitlyn,Morgana,Riven,Xin Zhao,Zed,Aatrox,Azir,Blitzcrank,Lee Sin,Vayne,team2
9821,Janna,Kai'Sa,Lee Sin,Sett,Zoe,Irelia,Nunu & Willump,Pyke,Senna,Veigar,team1
9822,Ashe,Karma,Kled,Shen,Sylas,Kalista,Quinn,Taliyah,Thresh,Vi,team1
9823,Cho'Gath,Kayn,LeBlanc,Miss Fortune,Pyke,Gnar,Hecarim,Jhin,Pantheon,Sona,team2
9824,Aatrox,Ashe,Lee Sin,Pyke,Veigar,Gangplank,Kai'Sa,Rammus,Senna,Zed,team2
9825,Caitlyn,Jax,Rakan,Vi,Xayah,Lee Sin,Morgana,Sylas,Yasuo,Yone,team1
9826,Brand,Fiora,Kindred,Yone,Ziggs,Camille,Leona,Lucian,Udyr,Zed,team1
9827,Katarina,Lee Sin,Morgana,Senna,Yone,Akali,Jax,Rakan,Rek'Sai,Xayah,team1
9828,Jax,Kog'Maw,Lee Sin,Lulu,Talon,Dr. Mundo,Lee Sin,Orianna,Senna,Volibear,team1
9829,Ashe,Ekko,Ornn,Sett,Yone,Jinx,Karma,Katarina,Shyvana,Vi,team1
9830,Amumu,Aphelios,Jax,Thresh,Zed,Jhin,Rakan,Shen,Yone,Yorick,team1
9831,Darius,Kai'Sa,Morgana,Zac,Zoe,Akali,Lee Sin,Lucian,Soraka,Talon,team1
9832,Blitzcrank,Ezreal,Fizz,Kha'Zix,Tryndamere,Hecarim,Kai'Sa,Leona,Maokai,Zoe,team2
9833,Miss Fortune,Pantheon,Teemo,Twitch,Viktor,Caitlyn,Rammus,Singed,Yone,Zyra,team1
9834,Kayle,Rakan,Sion,Vayne,Zed,Ashe,Lee Sin,Taric,Yasuo,Yone,team2
9835,Aatrox,Kai'Sa,Kled,LeBlanc,Leona,Ezreal,Katarina,Kayn,Lux,Sett,team1
9836,Akali,Brand,Ezreal,Kindred,Maokai,Diana,Evelynn,Mordekaiser,Rakan,Senna,team2
9837,Akali,Amumu,Darius,Miss Fortune,Thresh,Blitzcrank,Kai'Sa,Nunu & Willump,Renekton,Zed,team1
9838,Diana,Kayle,Leona,Miss Fortune,Urgot,Brand,Galio,Kai'Sa,Kayn,Nasus,team2
9839,Ezreal,Fiora,Jax,Ryze,Soraka,Jinx,Rakan,Warwick,Zed,Ziggs,team2
9840,Garen,Jinx,Kennen,Maokai,Tryndamere,Azir,Caitlyn,Kayle,Nautilus,Sett,team1
9841,Ahri,Lux,Miss Fortune,Teemo,Warwick,Ekko,Garen,Pyke,Sett,Sivir,team2
9842,Jax,Nautilus,Tristana,Urgot,Yasuo,Leona,Master Yi,Miss Fortune,Nasus,Sylas,team2
9843,Akali,Braum,Graves,Lucian,Sett,Lux,Miss Fortune,Morgana,Rengar,Volibear,team1
9844,Ahri,Illaoi,Lucian,Warwick,Yuumi,Diana,Hecarim,Miss Fortune,Ornn,Senna,team1
9845,Akali,Ashe,Janna,Warwick,Yone,Ashe,Fiddlesticks,Garen,Syndra,Zilean,team1
9846,Ashe,Malphite,Shen,Viktor,Zac,Akali,Ezreal,Rengar,Sona,Warwick,team1
9847,Akali,Alistar,Mordekaiser,Sett,Vayne,Ahri,Ashe,Darius,Nidalee,Rakan,team1
9848,Gnar,Janna,Jinx,Nocturne,Zoe,Akali,Ashe,Lee Sin,Senna,Urgot,team1
9849,Camille,Kai'Sa,Lee Sin,Senna,Sylas,Draven,Kayle,Sylas,Thresh,Yone,team2
9850,Jhin,Kayn,Mordekaiser,Thresh,Veigar,Darius,Galio,Garen,Master Yi,Urgot,team1
9851,Gangplank,Hecarim,Neeko,Qiyana,Xayah,Akali,Kayle,Kayn,Lux,Tristana,team2
9852,Malphite,Orianna,Twitch,Volibear,Yuumi,Lucian,Lulu,Urgot,Yone,Zac,team1
9853,Kha'Zix,Lucian,Malzahar,Sett,Thresh,Caitlyn,Galio,Graves,Pantheon,Renekton,team2
9854,Ahri,Jax,Kayn,Lulu,Twitch,Karma,Lucian,Orianna,Warwick,Yorick,team1
9855,Miss Fortune,Poppy,Volibear,Yuumi,Zoe,Fiora,Jinx,Orianna,Pyke,Rengar,team2
9856,Draven,Gragas,Rengar,Shen,Zilean,Akali,Galio,Kindred,Nunu & Willump,Sona,team1
9857,Ashe,Lux,Neeko,Shen,Soraka,Ezreal,Kled,Sona,Twisted Fate,Udyr,team1
9858,Evelynn,Kled,Lucian,Sett,Ziggs,Caitlyn,Kha'Zix,Neeko,Senna,Shen,team2
9859,Ashe,Kayn,Lulu,Mordekaiser,Orianna,Corki,Kai'Sa,Lillia,Rakan,Vi,team2
9860,Graves,Kai'Sa,Kled,Rakan,Sylas,Ahri,Camille,Lee Sin,Lux,Senna,team2
9861,Jayce,Kai'Sa,Lillia,Rakan,Yone,Camille,Lulu,Rek'Sai,Twitch,Vladimir,team1
9862,Caitlyn,Darius,Swain,Warwick,Yone,Hecarim,Jhin,Nami,Vayne,Yasuo,team2
9863,Akali,Ezreal,Lux,Rengar,Senna,Lee Sin,Ornn,Soraka,Vayne,Yone,team2
9864,Aatrox,Caitlyn,Galio,Hecarim,Lulu,Elise,Jhin,Lucian,Ornn,Zyra,team1
9865,Gnar,Kai'Sa,Kha'Zix,Nami,Neeko,Fiddlesticks,Fizz,Irelia,Jinx,Lulu,team2
9866,Camille,Diana,Jinx,Master Yi,Morgana,Galio,Karma,Kayle,Kog'Maw,Vi,team2
9867,Fiora,Lucian,Nautilus,Sylas,Viktor,Ahri,Kai'Sa,Morgana,Xin Zhao,Yone,team1
9868,Jhin,Kayle,Lulu,Lux,Nocturne,Caitlyn,Graves,Lee Sin,Yasuo,Yone,team1
9869,Blitzcrank,Caitlyn,Elise,Maokai,Zed,Akali,Brand,Ezreal,Ornn,Zac,team2
9870,Caitlyn,Hecarim,Kayle,Syndra,Yuumi,Ekko,Irelia,Janna,Ryze,Senna,team2
9871,Ashe,Darius,Kindred,Lulu,Wukong,Janna,Kai'Sa,Kassadin,Renekton,Sylas,team2
9872,Anivia,Ezreal,Irelia,Lee Sin,Lulu,Darius,Draven,Ezreal,Malphite,Nami,team2
9873,Fiora,Miss Fortune,Nami,Riven,Shaco,Camille,Ezreal,Galio,Vel'Koz,Yone,team1
9874,Brand,Katarina,Nidalee,Shaco,Sivir,Brand,Gragas,Vayne,Yone,Yuumi,team2
9875,Amumu,Ashe,Yasuo,Yone,Zyra,Camille,Diana,Irelia,Kalista,Volibear,team1
9876,Ashe,Rumble,Vi,Yone,Yuumi,Ekko,Elise,Garen,Kai'Sa,Nautilus,team1
9877,Darius,Ezreal,Nautilus,Nocturne,Yasuo,Blitzcrank,Elise,Jayce,Miss Fortune,Yone,team2
9878,Ekko,Miss Fortune,Nautilus,Renekton,Yone,Ahri,Illaoi,Jhin,Kha'Zix,Rakan,team2
9879,Ashe,Orianna,Ornn,Rakan,Sejuani,Alistar,Ekko,Fiora,Fizz,Miss Fortune,team1
9880,Akali,Diana,Jhin,Morgana,Yasuo,Illaoi,Jhin,Kennen,Kha'Zix,Taric,team2
9881,Diana,Fiora,Jhin,Leona,Olaf,Ashe,Lucian,Nautilus,Teemo,Volibear,team2
9882,Fiora,Leona,Master Yi,Twitch,Zed,Akali,Miss Fortune,Nocturne,Senna,Yasuo,team1
9883,Kennen,Sejuani,Senna,Vayne,Zilean,Fizz,Jinx,Taric,Teemo,Udyr,team1
9884,Hecarim,Kai'Sa,Nautilus,Rumble,Sylas,Ekko,Ezreal,Gnar,Thresh,Viktor,team2
9885,Darius,Kai'Sa,Lulu,Ryze,Sett,Fiddlesticks,Garen,Morgana,Vayne,Viktor,team2
9886,Kai'Sa,Taric,Viktor,Volibear,Xin Zhao,Jhin,Lee Sin,Malzahar,Soraka,Sylas,team2
9887,Aphelios,Garen,Graves,Nautilus,Ryze,Draven,Orianna,Sejuani,Taric,Volibear,team2
9888,Ashe,Ekko,Garen,Veigar,Yone,Caitlyn,Graves,Nami,Renekton,Xerath,team2
9889,Hecarim,Jax,Jhin,LeBlanc,Senna,Dr. Mundo,Draven,Fiddlesticks,Leona,Viktor,team1
9890,Akali,Fiddlesticks,Lulu,Senna,Shen,Ahri,Amumu,Jinx,Rengar,Thresh,team1
9891,Akali,Bard,Jhin,Nocturne,Volibear,Ekko,Twitch,Viktor,Wukong,Yuumi,team1
9892,Ekko,Irelia,Nami,Vel'Koz,Yone,Anivia,Ezreal,Gangplank,Jax,Rakan,team1
9893,Bard,Caitlyn,Graves,Jax,Veigar,Malphite,Orianna,Senna,Sett,Tahm Kench,team1
9894,Graves,Kai'Sa,Lucian,Nami,Sylas,Aatrox,Lux,Master Yi,Rakan,Twitch,team1
9895,Rengar,Sylas,Thresh,Twitch,Viktor,Camille,Jhin,Malphite,Mordekaiser,Nocturne,team1
9896,Akali,Kalista,Poppy,Thresh,Xin Zhao,Bard,Ekko,Ezreal,Kayle,Orianna,team2
9897,Blitzcrank,Nidalee,Rumble,Swain,Tristana,Akali,Ezreal,Kindred,Pyke,Vel'Koz,team1
9898,Ekko,Galio,Miss Fortune,Rakan,Sylas,Caitlyn,Fiddlesticks,Morgana,Pyke,Urgot,team1
9899,Alistar,Azir,Caitlyn,Camille,Shyvana,Ahri,Ashe,Fiora,Kha'Zix,Thresh,team2
9900,Elise,Fizz,Miss Fortune,Senna,Tryndamere,Darius,Evelynn,Ezreal,Kayle,Zed,team1
9901,Ashe,Jax,Kassadin,Ornn,Senna,Brand,Caitlyn,Kindred,Nasus,Sylas,team1
9902,Fiora,Kai'Sa,Lulu,Nunu & Willump,Qiyana,Graves,Lucian,Sylas,Zed,Zilean,team1
9903,Ezreal,Lulu,Riven,Tristana,Zac,Ahri,Senna,Sona,Tryndamere,Volibear,team1
9904,Caitlyn,Fiddlesticks,Irelia,Lux,Ryze,Bard,Ekko,Jinx,Kassadin,Kayle,team2
9905,Lillia,Morgana,Orianna,Sion,Vayne,Draven,Graves,Kayle,Lulu,Zed,team1
9906,Miss Fortune,Teemo,Thresh,Volibear,Yasuo,Hecarim,Pyke,Sion,Yone,Ziggs,team2
9907,Ahri,Lee Sin,Lucian,Ryze,Senna,Cho'Gath,Diana,Jhin,Rek'Sai,Thresh,team2
9908,Darius,Kayn,Lucian,Swain,Vel'Koz,Gragas,Twitch,Udyr,Yasuo,Yuumi,team1
9909,Fiddlesticks,Jhin,Malphite,Morgana,Yasuo,Bard,Master Yi,Ornn,Sylas,Xayah,team1
9910,Akali,Renekton,Soraka,Vi,Xayah,Galio,Jarvan IV,Malphite,Morgana,Twitch,team2
9911,Caitlyn,Lee Sin,Urgot,Viktor,Zyra,Diana,Sejuani,Tryndamere,Vayne,Vel'Koz,team1
9912,Ashe,Hecarim,Lux,Ornn,Yasuo,Gnar,Heimerdinger,Swain,Tristana,Volibear,team1
9913,Annie,Darius,Lee Sin,Lucian,Yone,Ivern,Leona,Urgot,Vayne,Zed,team2
9914,Irelia,Kai'Sa,Tahm Kench,Vel'Koz,Warwick,Amumu,Ashe,Nautilus,Sett,Ziggs,team1
9915,Diana,Miss Fortune,Nocturne,Teemo,Vel'Koz,Kai'Sa,Kayle,Ornn,Senna,Udyr,team2
9916,Ekko,Ezreal,Leona,Miss Fortune,Shen,Galio,Gangplank,Graves,Jhin,Vel'Koz,team2
9917,Hecarim,Jinx,Lux,Morgana,Shen,Jhin,Nami,Shaco,Singed,Zed,team1
9918,Garen,Hecarim,Jhin,Thresh,Yone,Ekko,Fiora,Kai'Sa,Leona,Lux,team2
9919,Ahri,Ashe,Olaf,Rumble,Zyra,Camille,Cassiopeia,Draven,Hecarim,Nami,team2
9920,Kayn,Lee Sin,Lux,Neeko,Vayne,Amumu,Ashe,Galio,Morgana,Volibear,team2
9921,Braum,Galio,Jhin,Lillia,Mordekaiser,Caitlyn,Elise,Nocturne,Sett,Zyra,team2
9922,Lucian,Lux,Nami,Renekton,Shaco,Ahri,Darius,Jarvan IV,Sivir,Ziggs,team2
9923,Ekko,Kindred,Lucian,Senna,Teemo,Jhin,Miss Fortune,Rek'Sai,Shen,Yasuo,team1
9924,Jayce,Jhin,Lux,Morgana,Pantheon,Ashe,Irelia,Nautilus,Vel'Koz,Warwick,team1
9925,Ashe,Fiora,Kennen,Pyke,Volibear,Caitlyn,Fiddlesticks,Galio,Sett,Yuumi,team2
9926,Braum,Fizz,Jinx,Kayn,Nasus,Kai'Sa,Senna,Urgot,Veigar,Warwick,team2
9927,Kalista,Kayle,Malphite,Urgot,Vi,Brand,Jinx,Nocturne,Ryze,Vladimir,team1
9928,Ezreal,Kassadin,Nami,Ryze,Vi,Akali,Lee Sin,Leona,Lucian,Urgot,team2
9929,Jarvan IV,Lucian,Lux,Pyke,Urgot,Draven,Neeko,Teemo,Xerath,Yone,team1
9930,Jhin,Kassadin,Kayn,Nautilus,Rumble,Kai'Sa,Kayle,Master Yi,Pyke,Yasuo,team2
9931,Janna,Kha'Zix,Syndra,Twitch,Yone,Amumu,Garen,Lulu,Vayne,Yasuo,team2
9932,Aatrox,Caitlyn,Jarvan IV,Shaco,Talon,Akali,Jax,Nami,Vayne,Warwick,team1
9933,Caitlyn,Darius,Fizz,Kayle,Thresh,Ashe,Jax,Lux,Malphite,Tryndamere,team2
9934,Diana,Jax,Kog'Maw,Sona,Yorick,Alistar,Caitlyn,Kayn,Malphite,Morgana,team1
9935,Kha'Zix,Lissandra,Miss Fortune,Poppy,Senna,Ahri,Ashe,Singed,Volibear,Xerath,team2
9936,Orianna,Pyke,Riven,Senna,Volibear,Ashe,Azir,Irelia,Kayn,Leona,team2
9937,Karma,Miss Fortune,Tristana,Tryndamere,Volibear,Hecarim,Kai'Sa,Kayle,Lux,Nami,team2
9938,Ekko,Lee Sin,Quinn,Rumble,Soraka,Aphelios,Hecarim,Janna,Kayn,Swain,team2
9939,Caitlyn,Kayle,Lee Sin,Nami,Syndra,Ahri,Blitzcrank,Kha'Zix,Tristana,Urgot,team1
9940,Ekko,Kayn,Renekton,Soraka,Vayne,Graves,Leona,Mordekaiser,Yasuo,Yone,team2
9941,Jax,Kai'Sa,LeBlanc,Soraka,Udyr,Blitzcrank,Fiora,Jinx,Nunu & Willump,Sylas,team2
9942,Darius,Lee Sin,Pantheon,Riven,Zed,Leona,Miss Fortune,Ryze,Taric,Warwick,team1
9943,Darius,Pyke,Tristana,Trundle,Yorick,Annie,Leona,Lux,Miss Fortune,Trundle,team1
9944,Lulu,Lux,Nocturne,Senna,Sett,Galio,Jhin,Nasus,Udyr,Zed,team2
9945,Ashe,Lee Sin,Mordekaiser,Senna,Yasuo,Master Yi,Rumble,Shen,Taric,Vayne,team1
9946,Katarina,Lucian,Shen,Tristana,Twitch,Jhin,Kennen,Lillia,Warwick,Zoe,team1
9947,Ahri,Darius,Kai'Sa,Pyke,Yasuo,Nami,Shen,Syndra,Twitch,Volibear,team2
9948,Illaoi,Lux,Rumble,Senna,Volibear,Ahri,Jhin,Morgana,Quinn,Vi,team2
9949,Jhin,Master Yi,Nasus,Nautilus,Sylas,Camille,Diana,Galio,Hecarim,Sivir,team2
9950,Fiora,Miss Fortune,Morgana,Neeko,Olaf,Brand,Caitlyn,Irelia,Rumble,Volibear,team2
9951,Ahri,Jinx,Thresh,Vi,Yorick,Akali,Master Yi,Soraka,Tryndamere,Xayah,team1
9952,Darius,Ekko,Miss Fortune,Qiyana,Yuumi,Akali,Ashe,Cho'Gath,Lee Sin,Pyke,team2
9953,Rumble,Senna,Skarner,Xayah,Yasuo,Ahri,Jhin,Morgana,Sejuani,Sett,team1
9954,Fiora,Hecarim,Lucian,Senna,Syndra,Annie,Ashe,Kayn,Leona,Sett,team2
9955,Fiddlesticks,LeBlanc,Leona,Miss Fortune,Mordekaiser,Jinx,Kayn,Morgana,Syndra,Urgot,team1
9956,Alistar,Caitlyn,Malphite,Neeko,Xin Zhao,Darius,Pyke,Sivir,Volibear,Xerath,team1
9957,Ezreal,Lillia,Morgana,Pyke,Sett,Caitlyn,Lee Sin,Rakan,Sona,Tryndamere,team1
9958,Ashe,Mordekaiser,Rakan,Sylas,Volibear,Kled,Lillia,Lux,Morgana,Nidalee,team2
9959,Caitlyn,Fiddlesticks,Talon,Teemo,Warwick,Aatrox,Leona,Miss Fortune,Wukong,Zac,team1
9960,Aatrox,Akali,Hecarim,Kog'Maw,Pyke,Ahri,Bard,Ezreal,Jarvan IV,Riven,team1
9961,Evelynn,Kalista,Pyke,Thresh,Urgot,Jinx,Kayn,Lulu,Lux,Malphite,team1
9962,Neeko,Rakan,Shyvana,Teemo,Xayah,Annie,Brand,Hecarim,Jhin,Singed,team2
9963,Riven,Sejuani,Senna,Xayah,Zoe,Azir,Ezreal,Jax,Sona,Yorick,team1
9964,Ekko,Elise,Kled,Lucian,Rakan,Garen,Jax,Katarina,Leona,Miss Fortune,team1
9965,Jhin,Orianna,Sylas,Xin Zhao,Zyra,Ekko,Kog'Maw,Lulu,Malphite,Yone,team2
9966,Jinx,Kayle,Kindred,Pyke,Veigar,Draven,Evelynn,Kassadin,Tryndamere,Xerath,team1
9967,Ezreal,Garen,Kindred,Thresh,Yone,Jax,Lucian,Lux,Neeko,Vayne,team2
9968,Caitlyn,Illaoi,Lee Sin,Thresh,Vladimir,Ekko,Kai'Sa,Kennen,Nautilus,Yasuo,team1
9969,Ezreal,Irelia,Warwick,Yasuo,Zyra,Akali,Jinx,Ornn,Rengar,Yuumi,team2
9970,Hecarim,Jayce,Jinx,Mordekaiser,Thresh,Camille,LeBlanc,Sona,Twitch,Yone,team1
9971,Caitlyn,Katarina,Senna,Shaco,Volibear,Braum,Diana,Kai'Sa,Kayle,Kindred,team2
9972,Braum,Hecarim,Irelia,Vladimir,Yasuo,Ahri,Kayn,Nautilus,Shen,Vayne,team2
9973,Gragas,Lucian,Soraka,Volibear,Zed,Cassiopeia,Kai'Sa,Nocturne,Sion,Yuumi,team1
9974,Aatrox,Kog'Maw,Sett,Volibear,Zilean,Galio,Hecarim,Malphite,Nunu & Willump,Shen,team1
9975,Kindred,Sett,Viktor,Yasuo,Zilean,Aphelios,Azir,Riven,Shyvana,Sona,team2
9976,Bard,Caitlyn,Orianna,Riven,Xin Zhao,Akali,Ekko,Kha'Zix,Pyke,Shaco,team2
9977,Ekko,Galio,Jhin,Orianna,Yone,Lee Sin,Riven,Thresh,Twisted Fate,Vayne,team2
9978,Akali,Kha'Zix,Malphite,Sivir,Yone,Darius,Lillia,Nami,Vayne,Zoe,team1
9979,Darius,Lucian,Pyke,Rengar,Yone,LeBlanc,Lucian,Master Yi,Nautilus,Yasuo,team2
9980,Caitlyn,Camille,Kayn,Tristana,Yuumi,Brand,Garen,Lucian,Nasus,Pyke,team1
9981,Evelynn,Maokai,Renekton,Ryze,Senna,Akali,Ashe,Fizz,Kindred,Lux,team1
9982,Darius,Lucian,Rakan,Xerath,Xin Zhao,Ezreal,Lee Sin,Tryndamere,Vel'Koz,Zed,team1
9983,Diana,Fiddlesticks,Miss Fortune,Pyke,Riven,Azir,Gnar,Janna,Rek'Sai,Vayne,team1
9984,Jinx,Lissandra,Sett,Trundle,Vel'Koz,Akali,Annie,Jhin,Master Yi,Ziggs,team1
9985,Hecarim,Katarina,Miss Fortune,Teemo,Yuumi,Morgana,Nasus,Poppy,Vayne,Zoe,team1
9986,Camille,Senna,Sett,Vi,Xerath,Amumu,Jhin,Malzahar,Morgana,Teemo,team1
9987,Caitlyn,Gragas,Lux,Senna,Swain,Malzahar,Shen,Thresh,Volibear,Xayah,team1
9988,Gragas,Shen,Thresh,Tristana,Yasuo,Irelia,Kha'Zix,Lucian,Lux,Tryndamere,team1
9989,Kayle,Lee Sin,Thresh,Vayne,Yone,Garen,Kai'Sa,Master Yi,Senna,Zoe,team1
9990,Amumu,Ashe,Ekko,Shaco,Teemo,Aphelios,Cho'Gath,Nocturne,Soraka,Talon,team1
9991,Master Yi,Morgana,Senna,Shen,Taric,Ashe,Elise,Galio,Lux,Sett,team2
9992,Diana,Garen,Lillia,Lucian,Lulu,Evelynn,Janna,Miss Fortune,Shen,Vladimir,team1
9993,Akali,Jhin,Master Yi,Morgana,Nasus,Kayle,Leona,Rammus,Vayne,Zed,team2
9994,Alistar,Ashe,Garen,Syndra,Volibear,Jhin,Kayle,Nautilus,Orianna,Udyr,team2
9995,Akali,Jax,Jinx,Lux,Quinn,Darius,Kai'Sa,Morgana,Wukong,Yasuo,team2
9996,Draven,Garen,Lux,Yone,Zed,Jax,Kai'Sa,Nocturne,Sett,Vel'Koz,team2
9997,Brand,Garen,Lucian,Lux,Volibear,Lulu,Nasus,Senna,Xin Zhao,Zoe,team2
9998,Ekko,Garen,Jinx,Qiyana,Zilean,Caitlyn,Malphite,Orianna,Sett,Warwick,team2
9999,Garen,Kayle,Malphite,Sivir,Veigar,Akali,Lux,Mordekaiser,Olaf,Twitch,team2
10000,Lux,Miss Fortune,Nasus,Nunu & Willump,Zoe,Jax,Morgana,Wukong,Xayah,Zed,team2
10001,Kayle,Lux,Malphite,Sett,Tristana,Jhin,Kayn,Morgana,Neeko,Urgot,team1
10002,Diana,Ekko,Janna,Yasuo,Yorick,Jinx,Malzahar,Shen,Twitch,Xerath,team1
10003,Brand,Camille,Elise,Jinx,Morgana,Ahri,Aphelios,Master Yi,Shaco,Yorick,team1
10004,Caitlyn,Gragas,Lulu,Lux,Wukong,Fizz,Janna,Jayce,Tristana,Xin Zhao,team2
10005,Ashe,Blitzcrank,Kindred,Ornn,Zed,Aatrox,Draven,Lee Sin,Pyke,Twisted Fate,team1
10006,Aphelios,Jayce,Lulu,Master Yi,Orianna,Ezreal,Irelia,Jhin,LeBlanc,Morgana,team1
10007,Blitzcrank,Ezreal,Irelia,Yone,Zac,Gangplank,Ivern,Lucian,Mordekaiser,Shaco,team1
10008,Fiora,Lee Sin,Poppy,Yone,Ziggs,Blitzcrank,Hecarim,LeBlanc,Miss Fortune,Swain,team1
10009,Akali,Aurelion Sol,Ezreal,Lillia,Morgana,Caitlyn,Garen,Nunu & Willump,Senna,Sion,team1
10010,Darius,Ezreal,Fiddlesticks,Tahm Kench,Yone,Gangplank,Jinx,Kayn,Lulu,Rakan,team2
10011,Jhin,Kennen,Kindred,Rengar,Zac,Brand,Cho'Gath,Evelynn,Lissandra,Twitch,team1
10012,Fiora,Karma,Kindred,Tristana,Zoe,Kalista,Kayle,Lillia,Lissandra,Zilean,team2
10013,Garen,Kog'Maw,Neeko,Twitch,Zilean,Ahri,Kha'Zix,Lux,Tristana,Vayne,team1
10014,Braum,Corki,Kayle,Kayn,Neeko,Darius,Kassadin,Nautilus,Vi,Ziggs,team1
10015,Fiora,Senna,Xin Zhao,Yone,Zilean,Akali,Blitzcrank,Ezreal,Master Yi,Yasuo,team1
10016,Gragas,Miss Fortune,Nami,Veigar,Vi,Akali,Annie,Ezreal,Shaco,Tristana,team1
10017,Annie,Caitlyn,Kindred,Senna,Teemo,Ashe,Lulu,Nocturne,Qiyana,Urgot,team1
10018,Braum,Kassadin,Kayle,Lucian,Shen,Caitlyn,Leona,Nasus,Nocturne,Riven,team1
10019,Akali,Jax,Master Yi,Miss Fortune,Morgana,Diana,Riven,Shen,Sivir,Twisted Fate,team1
10020,Kai'Sa,Nidalee,Ornn,Vel'Koz,Zed,Gangplank,Jhin,Lulu,Sylas,Yasuo,team1
10021,Camille,Jinx,Lulu,Master Yi,Nunu & Willump,Evelynn,Lucian,Morgana,Sion,Urgot,team2
10022,Irelia,Jhin,Kayn,Nunu & Willump,Rakan,Galio,Kalista,Lee Sin,Malphite,Taric,team1
10023,Aatrox,Ashe,Lee Sin,Lucian,Yuumi,Aphelios,Hecarim,Karma,Kennen,Orianna,team2
10024,Ashe,Ekko,Kayn,Lulu,Zoe,Ahri,Blitzcrank,Ezreal,Fiora,Kindred,team1
10025,Gnar,Miss Fortune,Pyke,Vladimir,Volibear,Ezreal,Hecarim,Jax,Nautilus,Taliyah,team1
10026,Cassiopeia,Kalista,Renekton,Sejuani,Thresh,Amumu,Garen,Janna,Jhin,Talon,team1
10027,Garen,Kai'Sa,Kayn,Nami,Ziggs,Ahri,Bard,Caitlyn,Elise,Urgot,team2
10028,Ahri,Ashe,Garen,Nami,Sett,Fiddlesticks,Irelia,Lulu,Senna,Yone,team1
10029,Akali,Draven,Nocturne,Thresh,Yasuo,Galio,Jhin,Kayle,Kha'Zix,Yone,team2
10030,Ashe,Garen,Graves,Thresh,Ziggs,Jhin,Tahm Kench,Twisted Fate,Urgot,Vi,team1
10031,Blitzcrank,Caitlyn,Camille,Veigar,Xin Zhao,Jhin,Lillia,Ornn,Pyke,Ziggs,team2
10032,Akali,Amumu,Anivia,Garen,Miss Fortune,Ashe,Lux,Urgot,Vi,Zed,team2
10033,Caitlyn,Kayn,Morgana,Teemo,Yasuo,Ashe,Lillia,Master Yi,Poppy,Thresh,team2
10034,Gangplank,Kayn,Malphite,Varus,Viktor,Ekko,Jhin,Vi,Yasuo,Zed,team2
10035,Master Yi,Rakan,Riven,Viktor,Xayah,Aatrox,Ashe,Malphite,Nautilus,Warwick,team2
10036,Ekko,Jhin,Leona,Quinn,Yasuo,Alistar,Ezreal,LeBlanc,Rek'Sai,Renekton,team1
10037,Jhin,Katarina,Lulu,Warwick,Yone,Akali,Aphelios,Shaco,Sona,Teemo,team1
10038,Jax,Jhin,Nami,Veigar,Wukong,Cassiopeia,Ezreal,Lee Sin,Pyke,Volibear,team2
10039,Ashe,Kha'Zix,Morgana,Ornn,Zed,Gnar,Nautilus,Olaf,Varus,Yone,team2
10040,Darius,Draven,Heimerdinger,Nami,Warwick,Evelynn,Kai'Sa,Sett,Yuumi,Zed,team1
10041,Caitlyn,Heimerdinger,Mordekaiser,Nami,Warwick,Jinx,Malphite,Syndra,Teemo,Tryndamere,team1
10042,Akali,Bard,Hecarim,Irelia,Jinx,Ahri,Jhin,Rammus,Thresh,Yone,team2
10043,Ekko,Gnar,Thresh,Vayne,Yasuo,Akali,Alistar,Ashe,Kayn,Riven,team1
10044,Akali,Fiddlesticks,Jhin,Pantheon,Shaco,Aatrox,Hecarim,Morgana,Vayne,Yone,team1
10045,Akali,Jhin,Kindred,Veigar,Yuumi,Darius,Diana,Ezreal,Karma,Sett,team2
10046,Ezreal,Fiddlesticks,Mordekaiser,Nami,Veigar,Ekko,Garen,Kai'Sa,Shaco,Soraka,team1
10047,Aurelion Sol,Miss Fortune,Nasus,Neeko,Yuumi,Jhin,Mordekaiser,Thresh,Viktor,Vladimir,team2
10048,Darius,Lucian,Pantheon,Pyke,Volibear,Darius,Malphite,Viktor,Yasuo,Yone,team2
